GEOID,GEOID For County,CensusTract,County
36009962200,36009,Census Tract 9622,Cattaraugus
36023970100,36023,Census Tract 9701,Cortland
36025970200,36025,Census Tract 9702,Delaware
36017970200,36017,Census Tract 9702,Chenango
36017970602,36017,Census Tract 9706.02,Chenango
36121970700,36121,Census Tract 9707,Wyoming
36017970801,36017,Census Tract 9708.01,Chenango
36017970900,36017,Census Tract 9709,Chenango
36025971100,36025,Census Tract 9711,Delaware
36121971100,36121,Census Tract 9711,Wyoming
36025971400,36025,Census Tract 9714,Delaware
36081097202,36081,Census Tract 972.02,Queens
36081097203,36081,Census Tract 972.03,Queens
36081097204,36081,Census Tract 972.04,Queens
36047097400,36047,Census Tract 974,Kings
36119984000,36119,Census Tract 9840,Westchester
36047099600,36047,Census Tract 996,Kings
36081099802,36081,Census Tract 998.02,Queens
,36035,,Fulton
,36069,,Ontario
,36079,,Putnam
